証券コード,会社名,基準日,区分,株主数,所有株式数_単元,割合
1446,株式会社キャンディル,2025-09-30,外国法人等 個人,31,70,0.06
1446,株式会社キャンディル,2025-09-30,個人その他,"12,862","75,339",70.21
1446,株式会社キャンディル,2025-09-30,計,"12,984","107,297",100.00
1446,株式会社キャンディル,2025-09-30,単元未満株式の状況(株),,"4,500",
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,金融機関,2,"4,018",1.65
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,金融商品取引業者,20,"21,905",9.00
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,その他の法人,60,"52,308",21.50
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,外国法人等 個人以外,16,"3,495",1.44
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,外国法人等 個人,26,557,0.23
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,個人その他,"10,449","161,047",66.18
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,計,"10,573","243,330",100
1447,ＳＡＡＦホールディングス株式会社,2026-03-31,単元未満株式の状況（株）,,"113,958",
1449,株式会社ＦＵＪＩジャパン,2025-12-31,政府及び地方公共団体,,,
1449,株式会社ＦＵＪＩジャパン,2025-12-31,金融機関,,,
1449,株式会社ＦＵＪＩジャパン,2025-12-31,金融商品取引業者,2,186,0.87
1449,株式会社ＦＵＪＩジャパン,2025-12-31,その他の法人,5,"1,722",8.08
1449,株式会社ＦＵＪＩジャパン,2025-12-31,外国法人等 個人以外,,,
1449,株式会社ＦＵＪＩジャパン,2025-12-31,外国法人等 個人,5,11,0.05
1449,株式会社ＦＵＪＩジャパン,2025-12-31,個人その他,385,"19,381",90.99
1449,株式会社ＦＵＪＩジャパン,2025-12-31,計,397,"21,300",100.00
1449,株式会社ＦＵＪＩジャパン,2025-12-31,単元未満株式の状況（株）,,,
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,政府及び地方公共団体,,,
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,金融機関,3,"1,523",1.75
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,金融商品取引業者,14,"1,064",1.22
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,その他の法人,48,"57,569",66.23
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,外国法人等 個人以外,21,"1,522",1.75
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,外国法人等 個人,10,58,0.07
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,個人その他,"1,920","25,185",28.98
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,計,"2,016","86,921",100.00
1450,ＴＡＮＡＫＥＮ株式会社,2026-03-31,単元未満株式の状況(株),,"7,500",
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,政府及び地方公共団体,,,
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,金融機関,1,91,0.18
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,金融商品取引業者,15,"2,665",5.20
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,その他の法人,19,"23,456",45.80
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,外国法人等 個人以外,12,"1,302",2.54
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,外国法人等 個人,4,14,0.03
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,個人その他,"1,917","23,683",46.25
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,計,"1,968","51,211",100.00
145A,株式会社Ｌ　ｉｓ　Ｂ,2025-12-31,単元未満株式の状況(株),,"3,700",
146A,コロンビア・ワークス株式会社,2025-12-31,政府及び地方公共団体,,,
146A,コロンビア・ワークス株式会社,2025-12-31,金融機関,3,"1,676",2.2
146A,コロンビア・ワークス株式会社,2025-12-31,金融商品取引業者,21,"3,892",5.0
146A,コロンビア・ワークス株式会社,2025-12-31,その他の法人,42,"27,336",35.5
146A,コロンビア・ワークス株式会社,2025-12-31,外国法人等 個人以外,24,"4,162",5.4
146A,コロンビア・ワークス株式会社,2025-12-31,外国法人等 個人,16,112,0.1
146A,コロンビア・ワークス株式会社,2025-12-31,個人その他,"2,570","39,914",51.8
146A,コロンビア・ワークス株式会社,2025-12-31,計,"2,676","77,092",100.0
146A,コロンビア・ワークス株式会社,2025-12-31,単元未満株式の状況（株）,,"7,400",
147A,株式会社ソラコム,2026-03-31,政府及び地方公共団体,,,
147A,株式会社ソラコム,2026-03-31,金融機関,5,"24,629",5.41
147A,株式会社ソラコム,2026-03-31,金融商品取引業者,20,"3,826",0.84
147A,株式会社ソラコム,2026-03-31,その他の法人,49,"241,557",53.01
147A,株式会社ソラコム,2026-03-31,外国法人等 個人以外,39,"60,701",13.32
147A,株式会社ソラコム,2026-03-31,外国法人等 個人,62,249,0.05
147A,株式会社ソラコム,2026-03-31,個人その他,"9,406","124,696",27.37
147A,株式会社ソラコム,2026-03-31,計,"9,581","455,658",100.00
147A,株式会社ソラコム,2026-03-31,単元未満株式の状況(株),,"13,705",
148A,株式会社ハッチ・ワーク,2025-12-31,政府及び地方公共団体,,,
148A,株式会社ハッチ・ワーク,2025-12-31,金融機関,2,228,1.2
148A,株式会社ハッチ・ワーク,2025-12-31,金融商品取引業者,17,"2,398",12.5
148A,株式会社ハッチ・ワーク,2025-12-31,その他の法人,16,"8,054",42.0
148A,株式会社ハッチ・ワーク,2025-12-31,外国法人等 個人以外,16,355,1.9
148A,株式会社ハッチ・ワーク,2025-12-31,外国法人等 個人,,,
148A,株式会社ハッチ・ワーク,2025-12-31,個人その他,805,"8,129",42.4
148A,株式会社ハッチ・ワーク,2025-12-31,計,856,"19,164",100.0
148A,株式会社ハッチ・ワーク,2025-12-31,単元未満株式の状況(株),,"2,200",
1491,中外鉱業株式会社,2026-03-31,政府及び地方公共団体,,,
1491,中外鉱業株式会社,2026-03-31,金融機関,2,83,0.06
1491,中外鉱業株式会社,2026-03-31,金融商品取引業者,23,"1,891",1.36
1491,中外鉱業株式会社,2026-03-31,その他の法人,63,"63,400",45.51
1491,中外鉱業株式会社,2026-03-31,外国法人等 個人以外,41,"6,568",4.71
1491,中外鉱業株式会社,2026-03-31,外国法人等 個人,86,435,0.31
1491,中外鉱業株式会社,2026-03-31,個人その他,"9,785","66,933",48.05
1491,中外鉱業株式会社,2026-03-31,計,"10,000","139,310",100.00
1491,中外鉱業株式会社,2026-03-31,単元未満株式の状況（株）,,"556,399",
149A,株式会社シンカ,2025-12-31,政府及び地方公共団体,,,
149A,株式会社シンカ,2025-12-31,金融機関,1,8,0.0
149A,株式会社シンカ,2025-12-31,金融商品取引業者,17,"1,451",4.5
149A,株式会社シンカ,2025-12-31,その他の法人,22,"5,244",16.4
149A,株式会社シンカ,2025-12-31,外国法人等 個人以外,14,"7,017",21.9
149A,株式会社シンカ,2025-12-31,外国法人等 個人,,,
149A,株式会社シンカ,2025-12-31,個人その他,919,"18,314",57.2
149A,株式会社シンカ,2025-12-31,計,973,"32,034",100.0
149A,株式会社シンカ,2025-12-31,単元未満株式の状況（株）,,"2,920",
150A,株式会社ＪＳＨ,2026-03-31,政府及び地方公共団体,0,0,0
150A,株式会社ＪＳＨ,2026-03-31,金融機関,1,28,0.05
150A,株式会社ＪＳＨ,2026-03-31,金融商品取引業者,17,"1,161",2.05
150A,株式会社ＪＳＨ,2026-03-31,その他の法人,20,"7,742",13.66
150A,株式会社ＪＳＨ,2026-03-31,外国法人等 個人以外,13,"1,477",2.6
150A,株式会社ＪＳＨ,2026-03-31,外国法人等 個人,7,111,0.2
150A,株式会社ＪＳＨ,2026-03-31,個人その他,"1,653","46,141",81.43
150A,株式会社ＪＳＨ,2026-03-31,計,"1,711","56,660",100.00
150A,株式会社ＪＳＨ,2026-03-31,単元未満株式の状況(株),,12,
1514,住石ホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
1514,住石ホールディングス株式会社,2026-03-31,金融機関,14,"37,522",5.59
1514,住石ホールディングス株式会社,2026-03-31,金融商品取引業者,38,"23,376",3.48
1514,住石ホールディングス株式会社,2026-03-31,その他の法人,148,"368,925",54.97
1514,住石ホールディングス株式会社,2026-03-31,外国法人等 個人以外,54,"11,809",1.76
1514,住石ホールディングス株式会社,2026-03-31,外国法人等 個人,349,"3,055",0.46
1514,住石ホールディングス株式会社,2026-03-31,個人その他,"25,381","226,478",33.74
1514,住石ホールディングス株式会社,2026-03-31,計,"25,984","671,165",100.00
1514,住石ホールディングス株式会社,2026-03-31,単元未満株式の状況（株）,,"106,353",
1515,日鉄鉱業株式会社,2026-03-31,政府及び地方公共団体,,,
1515,日鉄鉱業株式会社,2026-03-31,金融機関,18,"143,908",18.01
1515,日鉄鉱業株式会社,2026-03-31,金融商品取引業者,39,"19,888",2.49
1515,日鉄鉱業株式会社,2026-03-31,その他の法人,217,"299,865",37.52
1515,日鉄鉱業株式会社,2026-03-31,外国法人等 個人以外,159,"178,633",22.35
1515,日鉄鉱業株式会社,2026-03-31,外国法人等 個人,456,"4,485",0.56
1515,日鉄鉱業株式会社,2026-03-31,個人その他,"15,546","152,389",19.07
1515,日鉄鉱業株式会社,2026-03-31,計,"16,435","799,168",100.00
1515,日鉄鉱業株式会社,2026-03-31,単元未満株式の状況(株),,"83,200",
1518,三井松島ホールディングス株式会社,2026-03-31,政府及び地方公共団体,,,
1518,三井松島ホールディングス株式会社,2026-03-31,金融機関,17,"103,793",15.91
1518,三井松島ホールディングス株式会社,2026-03-31,金融商品取引業者,32,"14,713",2.26
1518,三井松島ホールディングス株式会社,2026-03-31,その他の法人,139,"80,019",12.27
1518,三井松島ホールディングス株式会社,2026-03-31,外国法人等 個人以外,86,"32,127",4.92
1518,三井松島ホールディングス株式会社,2026-03-31,外国法人等 個人,37,245,0.04
1518,三井松島ホールディングス株式会社,2026-03-31,個人その他,"17,803","421,421",64.60
1518,三井松島ホールディングス株式会社,2026-03-31,計,"18,114","652,318",100.00
1518,三井松島ホールディングス株式会社,2026-03-31,単元未満株式の状況(株),,"90,200",
151A,株式会社ダイブ,2025-06-30,政府及び地方公共団体,,,
151A,株式会社ダイブ,2025-06-30,金融機関,4,"5,806",6.84
151A,株式会社ダイブ,2025-06-30,金融商品取引業者,17,"2,783",3.28
151A,株式会社ダイブ,2025-06-30,その他の法人,13,"22,157",26.10
151A,株式会社ダイブ,2025-06-30,外国法人等 個人以外,23,"6,344",7.47
151A,株式会社ダイブ,2025-06-30,外国法人等 個人,2,3,0.00
151A,株式会社ダイブ,2025-06-30,個人その他,949,"47,801",56.31
151A,株式会社ダイブ,2025-06-30,計,"1,008","84,894",100.00
151A,株式会社ダイブ,2025-06-30,単元未満株式の状況(株),,"3,075",
153A,株式会社カウリス,2025-12-31,政府及び地方公共団体,,,
153A,株式会社カウリス,2025-12-31,金融機関,4,"3,235",4.96
153A,株式会社カウリス,2025-12-31,金融商品取引業者,17,"1,433",2.20
153A,株式会社カウリス,2025-12-31,その他の法人,22,"34,509",52.93
153A,株式会社カウリス,2025-12-31,外国法人等 個人以外,21,"4,766",7.31
153A,株式会社カウリス,2025-12-31,外国法人等 個人,12,872,1.34
153A,株式会社カウリス,2025-12-31,個人その他,"3,954","20,386",31.27
153A,株式会社カウリス,2025-12-31,計,"4,030","65,201",100.00
153A,株式会社カウリス,2025-12-31,単元未満株式の状況（株）,,"7,900",
155A,株式会社情報戦略テクノロジー,2025-12-31,政府及び地方公共団体,,,
155A,株式会社情報戦略テクノロジー,2025-12-31,金融機関,2,34,0.03
155A,株式会社情報戦略テクノロジー,2025-12-31,金融商品取引業者,18,"1,442",1.36
155A,株式会社情報戦略テクノロジー,2025-12-31,その他の法人,30,"35,401",33.30
155A,株式会社情報戦略テクノロジー,2025-12-31,外国法人等 個人以外,19,"3,026",2.84
155A,株式会社情報戦略テクノロジー,2025-12-31,外国法人等 個人,12,28,0.03
155A,株式会社情報戦略テクノロジー,2025-12-31,個人その他,"5,051","66,391",62.44
155A,株式会社情報戦略テクノロジー,2025-12-31,計,"5,132","106,322",100
155A,株式会社情報戦略テクノロジー,2025-12-31,単元未満株式の状況（株）,,"5,053",
156A,マテリアルグループ株式会社,2025-08-31,政府及び地方公共団体,,,
156A,マテリアルグループ株式会社,2025-08-31,金融機関,4,"6,955",7.05
156A,マテリアルグループ株式会社,2025-08-31,金融商品取引業者,20,"3,419",3.46
156A,マテリアルグループ株式会社,2025-08-31,その他の法人,73,"2,771",2.81
156A,マテリアルグループ株式会社,2025-08-31,外国法人等 個人以外,18,"17,250",17.48
156A,マテリアルグループ株式会社,2025-08-31,外国法人等 個人,23,110,0.11
156A,マテリアルグループ株式会社,2025-08-31,個人その他,"5,345","68,190",69.09
156A,マテリアルグループ株式会社,2025-08-31,計,"5,483","98,695",100.00
156A,マテリアルグループ株式会社,2025-08-31,単元未満株式の状況（株）,,"7,697",
157A,グリーンモンスター株式会社,2025-06-30,政府及び地方公共団体,,,
157A,グリーンモンスター株式会社,2025-06-30,金融機関,1,79,0.24
157A,グリーンモンスター株式会社,2025-06-30,金融商品取引業者,13,"1,549",4.82
157A,グリーンモンスター株式会社,2025-06-30,その他の法人,24,"2,025",6.30
157A,グリーンモンスター株式会社,2025-06-30,外国法人等 個人以外,10,200,0.62
157A,グリーンモンスター株式会社,2025-06-30,外国法人等 個人,13,99,0.30
157A,グリーンモンスター株式会社,2025-06-30,個人その他,"1,757","28,171",87.69
157A,グリーンモンスター株式会社,2025-06-30,計,"1,818","32,123",100.00
157A,グリーンモンスター株式会社,2025-06-30,単元未満株式の状況(株),,"2,400",
1605,株式会社ＩＮＰＥＸ,2025-12-31,政府及び地方公共団体,1,"2,769,228",22.046
1605,株式会社ＩＮＰＥＸ,2025-12-31,金融機関,116,"2,709,146",21.568
1605,株式会社ＩＮＰＥＸ,2025-12-31,金融商品取引業者,47,"701,171",5.582
1605,株式会社ＩＮＰＥＸ,2025-12-31,その他の法人,"2,221","413,550",3.292
1605,株式会社ＩＮＰＥＸ,2025-12-31,外国法人等 個人以外,862,"3,308,986",26.344
1605,株式会社ＩＮＰＥＸ,2025-12-31,外国法人等 個人,"1,007","3,901",0.031
1605,株式会社ＩＮＰＥＸ,2025-12-31,個人その他（注）,"399,155","2,654,595",21.134
1605,株式会社ＩＮＰＥＸ,2025-12-31,計,"403,409","12,560,577",100.000
1605,株式会社ＩＮＰＥＸ,2025-12-31,単元未満株式の状況（株）,,"3,078,367",
160A,株式会社アズパートナーズ,2026-03-31,政府及び地方公共団体,,,
160A,株式会社アズパートナーズ,2026-03-31,金融機関,1,47,0.13
